Protein.Group,log2FC,AveExpr,t,P.Value,adj.P.Val,B,Abundance,Blast_KOALA_KO,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,EggNOG_KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,Protein.Names,Gene.Names,Given_name
SymbC1.scaffold10691.1,1.645811705,19.39806203,-0.691203446,0.512248619,0.820099995,-4.969304951,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold10691.1
SymbC1.scaffold10410.1,-1.151950304,18.7923917,0.687757703,0.514285491,0.821401093,-4.970962707,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold10410.1
SymbC1.scaffold1003.5,-2.14428199,19.568977,1.006771943,0.331339074,0.708221064,-4.974634944,no difference,,55529.EKX40827,4.14E-139,470,"COG0574@1|root,2QS3J@2759|Eukaryota",2759|Eukaryota,G,"6-phosphoglucan, water dikinase activity",PWD1,"GO:0000272,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005976,GO:0005982,GO:0005983,GO:0006073,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009251,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009987,GO:0016052,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016781,GO:0019200,GO:0019538,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044042,GO:0044237,GO:0044238,GO:0044247,GO:0044248,GO:0044260,GO:0044262,GO:0044264,GO:0044267,GO:0044275,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046777,GO:0046835,GO:0051752,GO:0071704,GO:1901564,GO:1901575",2.7.9.5,ko:K15535,-,-,-,-,"ko00000,ko01000",-,-,-,"CBM_20,PPDK_N",NA,NA,PWD1
SymbC1.scaffold9016.4,1.300676201,19.04466309,-1.175157378,0.258459287,0.642455281,-4.976476446,no difference,K00819,35128.Thaps27892,1.26E-210,601,"COG4992@1|root,KOG1402@2759|Eukaryota,2XAWX@2836|Bacillariophyta",2836|Bacillariophyta,E,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,-,-,2.6.1.13,ko:K00819,"ko00330,ko01100,ko01110,ko01130,map00330,map01100,map01110,map01130",-,R00667,"RC00006,RC00062","ko00000,ko00001,ko01000,ko01007",-,-,-,Aminotran_3,NA,NA,SymbC1.scaffold9016.4
SymbC1.scaffold177.11,-0.769801552,19.78761935,0.354669908,0.735319205,0.917200004,-4.976664708,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold177.11
SymbC1.scaffold415.6,-1.481346842,21.07227642,0.992865078,0.340655531,0.71576233,-4.97835645,no difference,,110365.A0A023B821,1.22E-185,557,"COG0469@1|root,KOG2323@2759|Eukaryota,3Y9HD@5794|Apicomplexa",5794|Apicomplexa,G,Belongs to the pyruvate kinase family,-,-,2.7.1.40,ko:K00873,"ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230","M00001,M00002,M00049,M00050","R00200,R00430,R01138,R01858,R02320","RC00002,RC00015","ko00000,ko00001,ko00002,ko01000,ko04131,ko04147",-,-,-,"PK,PK_C",NA,NA,SymbC1.scaffold415.6
SymbC1.scaffold1116.6,-1.251075074,19.122185,0.671829659,0.52376818,0.826389795,-4.97853654,no difference,K01189,59894.ENSFALP00000011786,1.39E-81,260,"KOG2366@1|root,KOG2366@2759|Eukaryota,38EIP@33154|Opisthokonta,3BAJ5@33208|Metazoa,3CSQH@33213|Bilateria,47YZ9@7711|Chordata,491PJ@7742|Vertebrata,4GN8R@8782|Aves",33208|Metazoa,G,Alpha-galactosidase A,GLA,"GO:0000323,GO:0001505,GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0003824,GO:0004553,GO:0004557,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005766,GO:0005773,GO:0005775,GO:0005794,GO:0005975,GO:0006629,GO:0006643,GO:0006664,GO:0006665,GO:0006672,GO:0006677,GO:0006687,GO:0006807,GO:0006810,GO:0006887,GO:0006955,GO:0008150,GO:0008152,GO:0009056,GO:0009311,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0012505,GO:0015925,GO:0016042,GO:0016137,GO:0016139,GO:0016192,GO:0016787,GO:0016798,GO:0016936,GO:0019222,GO:0019377,GO:0030141,GO:0030149,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032768,GO:0032769,GO:0032940,GO:0034641,GO:0034774,GO:0035578,GO:0036230,GO:0042119,GO:0042582,GO:0042802,GO:0042803,GO:0043086,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043299,GO:0043312,GO:0043603,GO:0044092,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044421,GO:0044422,GO:0044424,GO:0044433,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045019,GO:0045055,GO:0045321,GO:0045428,GO:0046466,GO:0046477,GO:0046479,GO:0046514,GO:0046903,GO:0046983,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0050999,GO:0051001,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051341,GO:0051354,GO:0060205,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0071704,GO:0097367,GO:0097708,GO:0099503,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658,GO:1903426,GO:1903427,GO:1903509,GO:1904406,GO:2000377,GO:2000378","3.2.1.22,3.2.1.49","ko:K01189,ko:K01204","ko00052,ko00561,ko00600,ko00603,ko04142,map00052,map00561,map00600,map00603,map04142",-,"R01101,R01103,R01104,R01194,R01329,R02926,R03634,R04019,R04470,R05549,R05961,R05966,R06091","RC00049,RC00059,RC00451","ko00000,ko00001,ko01000",-,-,-,"Melibiase_2,Melibiase_2_C",NA,NA,GLA
SymbC1.scaffold4967.3,0.882155262,20.15451192,-1.307346789,0.206836869,0.596468721,-4.979138423,no difference,,37919.EP51_22095,2.63E-15,78.6,"COG1024@1|root,COG1024@2|Bacteria,2I9VC@201174|Actinobacteria,4FWJ5@85025|Nocardiaceae",201174|Actinobacteria,I,Enoyl-CoA hydratase/isomerase,echA3,-,-,-,-,-,-,-,-,-,-,-,ECH_1,NA,NA,echA3
SymbC1.scaffold903.1,-1.142237426,20.91039759,1.321998428,0.20121908,0.592268848,-4.982506906,no difference,K24205,2903.EOD09452,2.58E-37,138,"COG0670@1|root,KOG2322@2759|Eukaryota",2759|Eukaryota,A,negative regulation of Fas signaling pathway,TMBIM4,"GO:0000139,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005783,GO:0005789,GO:0005794,GO:0005795,GO:0006915,GO:0006950,GO:0006986,GO:0007154,GO:0007165,GO:0008150,GO:0008219,GO:0009966,GO:0009987,GO:0010033,GO:0010646,GO:0010941,GO:0012501,GO:0012505,GO:0016020,GO:0016021,GO:0019722,GO:0019932,GO:0023051,GO:0023052,GO:0030176,GO:0030968,GO:0031090,GO:0031224,GO:0031227,GO:0031984,GO:0033554,GO:0034620,GO:0034976,GO:0035556,GO:0035966,GO:0035967,GO:0042175,GO:0042221,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0048519,GO:0048523,GO:0048583,GO:0050789,GO:0050794,GO:0050848,GO:0050896,GO:0051716,GO:0060548,GO:0065007,GO:0070887,GO:0071310,GO:0098588,GO:0098791,GO:0098827,GO:1902531",-,ko:K06890,-,-,-,-,ko00000,-,-,-,Bax1-I,NA,NA,TMBIM4
SymbC1.scaffold935.5,-0.760605573,18.40780643,0.335725228,0.744920064,0.921416929,-4.982600189,no difference,,4096.XP_009790303.1,1.82E-118,404,"COG1502@1|root,KOG1329@2759|Eukaryota,37Q6B@33090|Viridiplantae,3G8U6@35493|Streptophyta,44MU0@71274|asterids",35493|Streptophyta,I,PLD-like domain,-,"GO:0003674,GO:0003824,GO:0004620,GO:0004630,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0006950,GO:0006995,GO:0007154,GO:0007275,GO:0008081,GO:0008150,GO:0008152,GO:0008610,GO:0009056,GO:0009058,GO:0009247,GO:0009267,GO:0009395,GO:0009605,GO:0009719,GO:0009725,GO:0009733,GO:0009987,GO:0009991,GO:0010033,GO:0016036,GO:0016042,GO:0016298,GO:0016787,GO:0016788,GO:0019374,GO:0019375,GO:0019637,GO:0022622,GO:0031667,GO:0031668,GO:0031669,GO:0032501,GO:0032502,GO:0032879,GO:0033554,GO:0042221,GO:0042578,GO:0042594,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043562,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0046434,GO:0046467,GO:0048364,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051716,GO:0060627,GO:0065007,GO:0071496,GO:0071704,GO:0099402,GO:1901135,GO:1901137,GO:1901575,GO:1901576,GO:1903509",3.1.4.4,ko:K01115,"ko00564,ko00565,ko01100,ko01110,ko04014,ko04024,ko04071,ko04072,ko04144,ko04666,ko04724,ko04912,ko05231,map00564,map00565,map01100,map01110,map04014,map04024,map04071,map04072,map04144,map04666,map04724,map04912,map05231",-,"R01310,R02051,R07385","RC00017,RC00425","ko00000,ko00001,ko01000,ko04131",-,-,-,"PH,PLDc,PLDc_2",NA,NA,SymbC1.scaffold935.5
SymbC1.scaffold5918.4,1.760282911,20.05003325,-1.153601079,0.263896593,0.648815322,-4.983638259,no difference,K08081,1121904.ARBP01000003_gene6439,1.71E-52,177,"COG1028@1|root,COG1028@2|Bacteria,4NKY7@976|Bacteroidetes,47MF4@768503|Cytophagia",976|Bacteroidetes,IQ,KR domain,-,-,1.1.1.206,ko:K08081,"ko00960,ko01100,ko01110,map00960,map01100,map01110",-,R02832,RC00144,"ko00000,ko00001,ko01000",-,-,-,adh_short_C2,NA,NA,SymbC1.scaffold5918.4
SymbC1.scaffold2289.2,1.304345147,20.26499691,-1.472581152,0.15133882,0.540062685,-4.984479374,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2289.2
SymbC1.scaffold7698.2,0.77647188,20.76784149,-1.515423836,0.138954841,0.521639669,-4.984667398,no difference,K03252,29176.XP_003879699.1,2.99E-122,400,"KOG1076@1|root,KOG1076@2759|Eukaryota,3Y9W0@5794|Apicomplexa,3YK26@5796|Coccidia,3YUK7@5809|Sarcocystidae",5794|Apicomplexa,J,"component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation",-,-,-,ko:K03252,"ko03013,map03013",-,-,-,"ko00000,ko00001,ko03012",-,-,-,"PCI,eIF-3c_N",NA,NA,SymbC1.scaffold7698.2
SymbC1.scaffold4978.1,-1.617789545,22.01158711,1.1841055,0.253850488,0.639183946,-4.986381778,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold4978.1
SymbC1.scaffold4.1292,0.753702764,21.8868729,-1.503655181,0.142231059,0.524532587,-4.986947252,no difference,,1410620.SHLA_6c000090,0,1088,"COG1319@1|root,COG1529@1|root,COG1319@2|Bacteria,COG1529@2|Bacteria,1MUEA@1224|Proteobacteria,2TQMW@28211|Alphaproteobacteria,4BAP2@82115|Rhizobiaceae",28211|Alphaproteobacteria,C,carbon monoxide dehydrogenase,coxL,-,1.2.5.3,ko:K03520,-,-,R11168,RC02800,"ko00000,ko01000",-,-,-,"Ald_Xan_dh_C,Ald_Xan_dh_C2",NA,NA,coxL
SymbC1.scaffold3428.2,-1.179148386,22.4996729,1.513627983,0.139408601,0.522388372,-4.987142654,no difference,K01006,331869.BAL199_04284,5.08E-250,715,"COG0574@1|root,COG1080@1|root,COG0574@2|Bacteria,COG1080@2|Bacteria,1MU0R@1224|Proteobacteria,2TR3C@28211|Alphaproteobacteria,4BPKQ@82117|unclassified Alphaproteobacteria",28211|Alphaproteobacteria,G,Belongs to the PEP-utilizing enzyme family,ppdK,-,2.7.9.1,ko:K01006,"ko00620,ko00710,ko00720,ko01100,ko01120,ko01200,map00620,map00710,map00720,map01100,map01120,map01200","M00169,M00171,M00172,M00173",R00206,"RC00002,RC00015","ko00000,ko00001,ko00002,ko01000",-,-,-,"PEP-utilizers,PEP-utilizers_C,PPDK_N",NA,NA,ppdK (2)
SymbC1.scaffold591.6,0.75436894,18.4294978,-0.303076664,0.772359691,0.931784408,-4.987716379,no difference,K04563,5811.TGME49_018220,7.25E-160,456,"KOG0594@1|root,KOG0594@2759|Eukaryota,3Y9K8@5794|Apicomplexa,3YNEG@5796|Coccidia,3YS7H@5809|Sarcocystidae",5794|Apicomplexa,G,Belongs to the protein kinase superfamily,CRK2,-,2.7.11.22,ko:K04563,"ko04011,ko04111,ko04113,map04011,map04111,map04113","M00692,M00693",-,-,"ko00000,ko00001,ko00002,ko01000,ko03019",-,-,-,Pkinase,NA,NA,CRK2
SymbC1.scaffold4621.3,0.657403489,21.80611002,-0.293179313,0.779545413,0.934774111,-4.989647541,no difference,,2903.EOD26844,2.37E-46,167,"COG0451@1|root,KOG1502@2759|Eukaryota",2759|Eukaryota,GM,dihydrokaempferol 4-reductase activity,-,-,-,-,-,-,-,-,-,-,-,-,"3Beta_HSD,Epimerase",NA,NA,SymbC1.scaffold4621.3
SymbC1.scaffold5240.4,-1.326408956,18.00365222,0.73886759,0.481554478,0.802590796,-4.990248709,no difference,K03265,7070.TC004489-PA,5.56E-199,564,"COG1503@1|root,KOG0688@2759|Eukaryota,38E1W@33154|Opisthokonta,3BCAN@33208|Metazoa,3D1R5@33213|Bilateria,41X8R@6656|Arthropoda,3SJCQ@50557|Insecta",33208|Metazoa,J,"Translation release factor activity, codon specific. It is involved in the biological process described with translational termination",ETF1,"GO:0000184,GO:0000956,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003747,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006401,GO:0006402,GO:0006412,GO:0006415,GO:0006417,GO:0006449,GO:0006464,GO:0006479,GO:0006518,GO:0006725,GO:0006807,GO:0007154,GO:0007165,GO:0007166,GO:0007224,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0008213,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009889,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010605,GO:0010608,GO:0010629,GO:0016043,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0019538,GO:0022411,GO:0023052,GO:0031323,GO:0031326,GO:0032259,GO:0032268,GO:0032984,GO:0034248,GO:0034641,GO:0034645,GO:0034655,GO:0036211,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043244,GO:0043412,GO:0043414,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0046483,GO:0046700,GO:0048519,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051246,GO:0051716,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1990825,GO:2000112",-,ko:K03265,"ko03015,map03015",-,-,-,"ko00000,ko00001,ko03012,ko03019",-,-,-,"eRF1_1,eRF1_2,eRF1_3",NA,NA,ETF1
SymbC1.scaffold2366.10,1.16328864,18.64314978,-1.083086704,0.296069906,0.678922161,-4.995709001,no difference,,880073.Calab_2555,7.26E-09,65.9,"COG3208@1|root,COG3208@2|Bacteria",2|Bacteria,Q,Thioesterase involved in non-ribosomal peptide biosynthesis,pteH,-,-,-,-,-,-,-,-,-,-,-,"Lant_dehydr_N,Thioesterase",NA,NA,pteH
SymbC1.scaffold6721.2,-0.676858332,19.93802277,0.257625727,0.805551975,0.94366311,-4.996075757,no difference,,8010.XP_010866905.1,1.19E-96,328,"28M8T@1|root,2QTS0@2759|Eukaryota,38XAI@33154|Opisthokonta,3BI0N@33208|Metazoa,3CY64@33213|Bilateria,488XM@7711|Chordata,496M4@7742|Vertebrata,49ZX8@7898|Actinopterygii",33208|Metazoa,S,Septin,-,-,-,-,-,-,-,-,-,-,-,-,"AIG1,MMR_HSR1,Septin,fn3",NA,NA,SymbC1.scaffold6721.2
SymbC1.scaffold6165.5,-1.086519199,18.37034241,0.797087957,0.448902231,0.783075217,-4.996242989,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold6165.5
SymbC1.scaffold4759.4,-2.539456114,23.43928276,1.496666305,0.144033993,0.527134716,-4.996471629,no difference,,7897.ENSLACP00000021583,1.84E-08,67.8,"COG0666@1|root,KOG0504@2759|Eukaryota,39YNX@33154|Opisthokonta,3B9NB@33208|Metazoa,3CRFJ@33213|Bilateria,47ZCI@7711|Chordata,48Y1R@7742|Vertebrata",33208|Metazoa,O,Ankyrin repeat,ANKRD52,-,-,"ko:K15502,ko:K15503,ko:K15504",-,-,-,-,"ko00000,ko01009,ko03400",-,-,-,"Ank,Ank_2,Ank_3,Ank_4,Ank_5",NA,NA,ANKRD52
SymbC1.scaffold3826.2,-1.146549132,22.80956753,1.506830808,0.141136849,0.524267911,-4.996488293,no difference,,2850.Phatr14387,3.02E-73,241,"COG0740@1|root,KOG0840@2759|Eukaryota,2XB1N@2836|Bacillariophyta",2836|Bacillariophyta,O,Clp protease,clpP,-,-,-,-,-,-,-,-,-,-,-,CLP_protease,NA,NA,clpP
SymbC1.scaffold13925.2,-0.872222577,18.62161722,0.255388963,0.805945767,0.943742208,-4.996893048,no difference,,406817.XNC1_0816,1.39E-53,190,"COG3836@1|root,COG3836@2|Bacteria,1MUSG@1224|Proteobacteria,1RMWJ@1236|Gammaproteobacteria",1236|Gammaproteobacteria,G,Belongs to the HpcH HpaI aldolase family,hpaI,-,4.1.2.52,ko:K02510,"ko00350,ko01120,map00350,map01120",-,"R01645,R01647","RC00307,RC00572,RC00574,RC03057","ko00000,ko00001,ko01000",-,-,iECO103_1326.ECO103_5131,HpcH_HpaI,NA,NA,hpaI
SymbC1.scaffold911.14,-0.5151689,17.87927896,0.234607422,0.821394151,0.948967622,-5.000183694,no difference,K06944,29176.XP_003882131.1,6.93E-199,558,"COG1163@1|root,KOG1487@2759|Eukaryota,3Y9H8@5794|Apicomplexa,3YJN4@5796|Coccidia,3YTFX@5809|Sarcocystidae",5794|Apicomplexa,T,GTP-binding protein,-,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0044424,GO:0044464",-,ko:K06944,-,-,-,-,ko00000,-,-,-,"MMR_HSR1,MMR_HSR1_Xtn,TGS",NA,NA,SymbC1.scaffold911.14
SymbC1.scaffold1562.1,1.013488465,21.38416781,-1.39715266,0.174731093,0.566153355,-5.000425282,no difference,,55529.EKX37328,9.14E-244,689,"COG1231@1|root,KOG0029@2759|Eukaryota",2759|Eukaryota,E,oxidoreductase activity,-,-,-,-,-,-,-,-,-,-,-,-,Amino_oxidase,NA,NA,SymbC1.scaffold1562.1
SymbC1.scaffold2321.3,-1.0547,21.14379993,1.44805823,0.158390751,0.54775963,-5.00093329,no difference,,88036.EFJ38078,1.83E-10,62.8,"2CNCY@1|root,2QVAR@2759|Eukaryota,37I7A@33090|Viridiplantae,3GDNK@35493|Streptophyta",35493|Streptophyta,S,plastid-lipid-associated protein 11,-,-,-,-,-,-,-,-,-,-,-,-,PAP_fibrillin,NA,NA,SymbC1.scaffold2321.3
SymbC1.scaffold10348.2,2.176267482,18.49299353,-1.134336113,0.273542904,0.65864872,-5.000993153,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold10348.2
SymbC1.scaffold4549.1,0.94590181,18.62958128,-0.633036757,0.539850275,0.833719973,-5.001340597,no difference,K01915,44056.XP_009034883.1,2.79000000001286e-313,876,"COG3968@1|root,2QQE3@2759|Eukaryota",2759|Eukaryota,S,Glutamine synthetase type III N terminal,GLNA,-,6.3.1.2,ko:K01915,"ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727",-,R00253,"RC00010,RC02798","ko00000,ko00001,ko01000,ko04147",-,-,-,"GSIII_N,Gln-synt_C",NA,NA,GLNA
SymbC1.scaffold5634.4,1.140076787,18.36297667,-0.615465772,0.561498962,0.843384761,-5.001939217,no difference,K00799,2903.EOD38754,3.86E-122,367,"KOG0406@1|root,KOG0406@2759|Eukaryota",2759|Eukaryota,O,glutathione transferase activity,-,-,2.5.1.18,ko:K00799,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418",-,"R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905","RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944","ko00000,ko00001,ko01000,ko02000","1.A.12.2.2,1.A.12.3.2",-,-,"GST_C_2,GST_N_3",NA,NA,SymbC1.scaffold5634.4
SymbC1.scaffold1639.5,1.853236743,19.88568888,-0.716438582,0.494539562,0.81098926,-5.002067305,no difference,,2850.Phatr42882,3.94E-12,67,"2E8HE@1|root,2SEZG@2759|Eukaryota",2759|Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,SymbC1.scaffold1639.5
SymbC1.scaffold2191.5,0.530201145,18.0902591,-0.218284448,0.833588749,0.953267625,-5.002576999,no difference,,2880.D7FSB2,9.42E-73,248,"2CNB1@1|root,2QUXT@2759|Eukaryota",2759|Eukaryota,S,violaxanthin,VDR1,-,-,-,-,-,-,-,-,-,-,-,DUF3479,NA,NA,VDR1
SymbC1.scaffold2189.3,0.404079071,18.61545851,-0.181557517,0.862080517,0.963043839,-5.007112901,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2189.3
SymbC1.scaffold14592.1,0.39131691,19.59338882,-0.175056464,0.866959296,0.964025848,-5.007882173,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold14592.1
SymbC1.scaffold4763.1,-0.864670636,24.03277028,1.49839561,0.143305456,0.525774345,-5.008035357,no difference,K01610,109760.SPPG_01405T0,1.45E-264,741,"COG1866@1|root,2QQI5@2759|Eukaryota,38BH0@33154|Opisthokonta,3NVNR@4751|Fungi",4751|Fungi,G,Phosphoenolpyruvate carboxykinase,PCK1,"GO:0003674,GO:0003824,GO:0004611,GO:0004612,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006082,GO:0006083,GO:0006094,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0015976,GO:0016051,GO:0016829,GO:0016830,GO:0016831,GO:0016999,GO:0017144,GO:0019318,GO:0019319,GO:0019752,GO:0032787,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046364,GO:0071704,GO:1901576",4.1.1.49,ko:K01610,"ko00010,ko00020,ko00620,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00710,map01100,map01110,map01120,map01130,map01200","M00003,M00170",R00341,"RC00002,RC02741","ko00000,ko00001,ko00002,ko01000",-,-,-,PEPCK_ATP,NA,NA,PCK1
SymbC1.scaffold58.7,-0.358765613,17.51765106,0.170648038,0.869447683,0.964412514,-5.008591363,no difference,,55529.EKX50254,4.77E-15,82.4,"2CISB@1|root,2S3S4@2759|Eukaryota",2759|Eukaryota,S,Domain of unknown function (DUF1995),-,-,-,-,-,-,-,-,-,-,-,-,DUF1995,NA,NA,SymbC1.scaffold58.7
